"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"5001","Medellín","5","Antioquia","5.610109776","-74.88681663","131","308","3","174","122","5","4","9","2885","0.312","2.922","39.610","1.623","1.299","0.974","0.118","56.494","42.532","#N/D"
"5030","Amagá","5","Antioquia","6.038808575","-75.70194607","1","1","0","0","1","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"5034","Andes","5","Antioquia","5.656774852","-75.87879189","1","1","0","0","1","0","0","0","10","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"5038","Angostura","5","Antioquia","6.885174591","-75.33511597","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5045","Apartadó","5","Antioquia","7.883417406","-76.62596065","0","4","0","4","0","0","0","0","158","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5079","Barbosa","5","Antioquia","6.439226882","-75.33164423","1","1","0","0","1","0","0","0","7","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"5088","Bello","5","Antioquia","6.334068836","-75.55466507","19","50","1","30","18","0","1","1","355","0.282","2.000","36.000","0.000","2.000","2.000","0.181","60.000","38.000","#N/D"
"5129","Caldas","5","Antioquia","6.091296966","-75.63361872","0","3","0","3","0","0","0","0","49","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5148","El Carmen de Viboral","5","Antioquia","6.084551516","-75.33536246","1","1","0","0","1","0","0","0","11","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"5190","Cisneros","5","Antioquia","6.537761957","-75.08720761","1","1","0","0","1","0","0","0","6","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"5197","Cocorná","5","Antioquia","6.058306335","-75.18548101","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5212","Copacabana","5","Antioquia","6.348640545","-75.5093439","7","12","0","5","5","2","0","2","6","33.333","16.667","41.667","16.667","0.000","0.000","0.000","41.667","58.333","#N/D"
"5237","Donmatías","5","Antioquia","6.484469957","-75.39272406","0","1","0","1","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5266","Envigado","5","Antioquia","6.167004552","-75.58301014","5","26","0","21","5","0","0","0","131","0.000","0.000","19.231","0.000","0.000","0.000","0.000","80.769","19.231","#N/D"
"5284","Frontino","5","Antioquia","6.776065912","-76.13076514","0","1","0","1","0","0","0","0","5","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5313","Granada","5","Antioquia","6.142896667","-75.18444508","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","100.000","10.242","0.000","0.000","#N/D"
"5318","Guarne","5","Antioquia","6.278064077","-75.44165392","1","3","0","2","1","0","0","0","4","0.000","0.000","33.333","0.000","0.000","0.000","0.000","66.667","33.333","#N/D"
"5321","Guatapé","5","Antioquia","6.232592707","-75.16229259","1","2","0","1","1","0","0","0","2","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"5360","Itagüí","5","Antioquia","6.169597629","-75.61435871","3","14","0","11","2","1","0","1","168","0.595","7.143","14.286","7.143","0.000","0.000","0.000","78.571","21.429","#N/D"
"5376","La Ceja","5","Antioquia","6.028055744","-75.42943089","0","2","0","2","0","0","0","0","120","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5380","La Estrella","5","Antioquia","6.15841974","-75.64519038","5","9","0","4","5","0","0","0","3","0.000","0.000","55.556","0.000","0.000","0.000","0.000","44.444","55.556","#N/D"
"5467","Montebello","5","Antioquia","5.946325567","-75.52351091","2","3","0","1","2","0","0","0","2","0.000","0.000","66.667","0.000","0.000","0.000","0.000","33.333","66.667","#N/D"
"5607","Retiro","5","Antioquia","6.063379954","-75.50137516","0","1","0","1","0","0","0","0","12","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5615","Rionegro","5","Antioquia","6.14722409","-75.37676938","1","11","0","10","1","0","0","0","304","0.000","0.000","9.091","0.000","0.000","0.000","0.000","90.909","9.091","#N/D"
"5631","Sabaneta","5","Antioquia","6.150970181","-75.61558529","0","9","0","9","0","0","0","0","22","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5652","San Francisco","5","Antioquia","5.964079131","-75.10268697","0","1","1","0","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","100.000","16.981","0.000","0.000","#N/D"
"5665","San Pedro de Urabá","5","Antioquia","8.276886664","-76.38057789","1","1","0","0","1","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"5686","Santa Rosa de Osos","5","Antioquia","6.643326001","-75.46074502","0","2","0","2","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5697","El Santuario","5","Antioquia","6.137046858","-75.26584979","0","1","0","1","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"5756","Sonsón","5","Antioquia","5.714811641","-75.30939515","1","2","0","1","1","0","0","0","4","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"8001","Barranquilla","8","Atlántico","10.97592682","-74.79525905","399","481","24","58","355","38","6","44","2591","1.698","9.148","73.805","7.900","1.247","4.990","1.883","12.058","82.952","#N/D"
"8078","Baranoa","8","Atlántico","10.79488048","-74.91609981","10","12","0","2","10","0","0","0","218","0.000","0.000","83.333","0.000","0.000","0.000","0.000","16.667","83.333","#N/D"
"8141","Candelaria","8","Atlántico","10.46121723","-74.8799126","1","1","0","0","1","0","0","0","2","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"8296","Galapa","8","Atlántico","10.919641","-74.8669381","9","10","0","1","9","0","0","0","5","0.000","0.000","90.000","0.000","0.000","0.000","0.000","10.000","90.000","#N/D"
"8433","Malambo","8","Atlántico","10.85628724","-74.77424057","68","74","4","2","58","8","2","10","52","19.231","13.514","78.378","10.811","2.703","5.405","2.866","2.703","91.892","#N/D"
"8436","Manatí","8","Atlántico","10.44896238","-74.95703499","3","3","0","0","3","0","0","0","1","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"8520","Palmar de Varela","8","Atlántico","10.73858326","-74.75475789","12","12","0","0","12","0","0","0","36","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"8558","Polonuevo","8","Atlántico","10.77772451","-74.85425725","7","8","0","1","7","0","0","0","3","0.000","0.000","87.500","0.000","0.000","0.000","0.000","12.500","87.500","#N/D"
"8560","Ponedera","8","Atlántico","10.64179593","-74.75390044","0","1","0","1","0","0","0","0","11","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"8573","Puerto Colombia","8","Atlántico","11.02294005","-74.85196357","7","10","1","2","6","1","0","1","344","0.291","10.000","60.000","10.000","0.000","10.000","1.864","20.000","70.000","#N/D"
"8634","Sabanagrande","8","Atlántico","10.79107595","-74.75850721","53","54","0","1","53","0","0","0","41","0.000","0.000","98.148","0.000","0.000","0.000","0.000","1.852","98.148","#N/D"
"8638","Sabanalarga","8","Atlántico","10.63283523","-74.92109368","10","10","0","0","10","0","0","0","114","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"8675","Santa Lucía","8","Atlántico","10.32327321","-74.95897145","0","1","1","0","0","0","0","0","0","","0.000","0.000","0.000","0.000","100.000","5.847","0.000","0.000","#N/D"
"8685","Santo Tomás","8","Atlántico","10.75605629","-74.75411186","9","11","1","1","9","0","0","0","32","0.000","0.000","81.818","0.000","0.000","9.091","3.125","9.091","81.818","#N/D"
"8758","Soledad","8","Atlántico","10.91017447","-74.78483338","309","334","10","15","301","6","2","8","327","2.446","2.395","90.120","1.796","0.599","2.994","1.504","4.491","92.515","#N/D"
"11001","Bogotá D.C.","11","Bogotá D.C.","4.65017303","-74.107359","2993","4305","149","1163","2714","241","36","277","7247","3.822","6.434","63.043","5.598","0.836","3.461","1.924","27.015","69.524","#N/D"
"13001","Cartagena de Indias","19","Bolívar","10.38498552","-75.49643103","507","689","47","135","424","72","10","82","1588","5.164","11.901","61.538","10.450","1.451","6.821","4.569","19.594","73.585","#N/D"
"13052","Arjona","19","Bolívar","10.25663152","-75.34448845","7","11","0","4","7","0","0","0","10","0.000","0.000","63.636","0.000","0.000","0.000","0.000","36.364","63.636","#N/D"
"13074","Barranco de Loba","19","Bolívar","8.947730158","-74.10522428","0","1","1","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","6.587","0.000","0.000","#N/D"
"13140","Calamar","19","Bolívar","10.25196336","-74.91362928","0","1","1","0","0","0","0","0","7","0.000","0.000","0.000","0.000","0.000","100.000","4.330","0.000","0.000","#N/D"
"13430","Magangué","19","Bolívar","9.268563794","-74.77017457","2","2","0","0","1","1","0","1","220","0.455","50.000","50.000","50.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"13442","María la Baja","19","Bolívar","9.982645517","-75.30075935","1","1","0","0","0","1","0","1","1","100.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"13620","San Cristóbal","19","Bolívar","10.39285577","-75.06553417","1","1","0","0","0","0","1","1","1","100.000","100.000","0.000","0.000","100.000","0.000","0.000","0.000","100.000","#N/D"
"13683","Santa Rosa","19","Bolívar","10.44439608","-75.36983166","7","8","0","1","7","0","0","0","16","0.000","0.000","87.500","0.000","0.000","0.000","0.000","12.500","87.500","#N/D"
"13836","Turbaco","19","Bolívar","10.33276916","-75.42440917","13","23","1","9","12","1","0","1","70","1.429","4.348","52.174","4.348","0.000","4.348","0.882","39.130","56.522","#N/D"
"13838","Turbaná","19","Bolívar","10.27440205","-75.44250247","3","3","0","0","2","1","0","1","1","100.000","33.333","66.667","33.333","0.000","0.000","0.000","0.000","100.000","#N/D"
"13873","Villanueva","19","Bolívar","10.44449833","-75.27475439","2","2","0","0","1","1","0","1","1","100.000","50.000","50.000","50.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15001","Tunja","15","Boyacá","5.539953238","-73.35548873","3","8","1","4","2","0","1","1","299","0.334","12.500","25.000","0.000","12.500","12.500","0.558","50.000","37.500","#N/D"
"15047","Aquitania","15","Boyacá","5.518603543","-72.88398481","1","1","0","0","1","0","0","0","3","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15131","Caldas","15","Boyacá","5.554575079","-73.865541","1","1","0","0","0","1","0","1","0","","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15176","Chiquinquirá","15","Boyacá","5.61412789","-73.81838763","7","7","0","0","6","1","0","1","47","2.128","14.286","85.714","14.286","0.000","0.000","0.000","0.000","100.000","#N/D"
"15223","Cubará","15","Boyacá","7.000092875","-72.11068776","2","2","0","0","1","0","0","0","3","0.000","0.000","50.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15238","Duitama","15","Boyacá","5.82298568","-73.03060967","9","9","0","0","8","1","0","1","110","0.909","11.111","88.889","11.111","0.000","0.000","0.000","0.000","100.000","#N/D"
"15299","Garagoa","15","Boyacá","5.083243463","-73.36442756","1","2","1","0","1","0","0","0","15","0.000","0.000","50.000","0.000","0.000","50.000","5.458","0.000","50.000","#N/D"
"15407","Villa de Leyva","15","Boyacá","5.632661849","-73.5246846","5","5","0","0","4","1","0","1","3","33.333","20.000","80.000","20.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15469","Moniquirá","15","Boyacá","5.876334811","-73.57337039","2","2","0","0","0","2","0","2","19","10.526","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15480","Muzo","15","Boyacá","5.532462867","-74.10275078","1","1","0","0","1","0","0","0","4","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15500","Oicatá","15","Boyacá","5.595234239","-73.30840398","0","1","0","1","0","0","0","0","22","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"15516","Paipa","15","Boyacá","5.77994187","-73.11791688","2","2","0","0","0","2","0","2","4","50.000","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15646","Samacá","15","Boyacá","5.492314591","-73.48564359","0","1","1","0","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","100.000","5.314","0.000","0.000","#N/D"
"15686","Santana","15","Boyacá","6.057413107","-73.48122632","2","4","0","2","2","0","0","0","0","","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"15693","Santa Rosa de Viterbo","15","Boyacá","5.874555597","-72.98246092","1","1","0","0","0","1","0","1","0","","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15696","Santa Sofía","15","Boyacá","5.713269421","-73.60270717","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15757","Socha","15","Boyacá","5.996713021","-72.69196586","3","3","0","0","3","0","0","0","2","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"15759","Sogamoso","15","Boyacá","5.72568939","-72.92304769","7","7","0","0","4","3","0","3","171","1.754","42.857","57.143","42.857","0.000","0.000","0.000","0.000","100.000","#N/D"
"15798","Tenza","15","Boyacá","5.077074351","-73.42058911","0","2","0","2","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"15816","Togüí","15","Boyacá","5.937438225","-73.51365506","4","14","0","10","4","0","0","0","0","","0.000","28.571","0.000","0.000","0.000","0.000","71.429","28.571","#N/D"
"15835","Turmequé","15","Boyacá","5.323252768","-73.49184702","3","3","0","0","3","0","0","0","2","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17001","Manizales","5","Caldas","5.057688197","-75.49104898","11","24","1","12","10","1","0","1","796","0.126","4.167","41.667","4.167","0.000","4.167","0.224","50.000","45.833","#N/D"
"17042","Anserma","5","Caldas","5.236474391","-75.78434266","0","1","0","1","0","0","0","0","10","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"17174","Chinchiná","5","Caldas","4.985812862","-75.60748073","0","4","0","4","0","0","0","0","38","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"17380","La Dorada","5","Caldas","5.444406098","-74.65820562","35","53","2","16","35","0","0","0","61","0.000","0.000","66.038","0.000","0.000","3.774","2.702","30.189","66.038","#N/D"
"17442","Marmato","5","Caldas","5.47400482","-75.60024162","1","1","0","0","1","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17444","Marquetalia","5","Caldas","5.297524561","-75.05309703","5","5","0","0","4","1","0","1","5","20.000","20.000","80.000","20.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17495","Norcasia","5","Caldas","5.574795393","-74.88954408","0","1","1","0","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","100.000","16.319","0.000","0.000","#N/D"
"17614","Riosucio","5","Caldas","5.423680913","-75.70206971","1","1","0","0","1","0","0","0","14","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17616","Risaralda","5","Caldas","5.164508957","-75.76721954","1","1","0","0","0","1","0","1","6","16.667","100.000","0.000","100.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17662","Samaná","5","Caldas","5.413086301","-74.99225776","1","1","0","0","1","0","0","0","9","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"17873","Villamaría","5","Caldas","5.043806686","-75.5137606","3","6","0","3","3","0","0","0","7","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"17877","Viterbo","5","Caldas","5.062664236","-75.87060986","0","2","0","2","0","0","0","0","3","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"18001","Florencia","18","Caquetá","1.61792293","-75.60856043","15","16","1","0","15","0","0","0","257","0.000","0.000","93.750","0.000","0.000","6.250","0.578","0.000","93.750","#N/D"
"19001","Popayán","47","Cauca","2.482503391","-76.57406468","10","24","1","13","10","0","0","0","660","0.000","0.000","41.667","0.000","0.000","4.167","0.307","54.167","41.667","#N/D"
"19142","Caloto","47","Cauca","3.034070778","-76.40848704","1","1","0","0","1","0","0","0","4","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"19256","El Tambo","47","Cauca","2.45137136","-76.81077225","4","4","0","0","4","0","0","0","5","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"19300","Guachené","47","Cauca","3.134153295","-76.39218874","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"19455","Miranda","47","Cauca","3.253095405","-76.22886987","1","6","1","4","1","0","0","0","3","0.000","0.000","16.667","0.000","0.000","16.667","3.117","66.667","16.667","#N/D"
"19548","Piendamó","47","Cauca","2.641987578","-76.52850592","6","6","0","0","5","1","0","1","5","20.000","16.667","83.333","16.667","0.000","0.000","0.000","0.000","100.000","#N/D"
"19573","Puerto Tejada","47","Cauca","3.233294127","-76.4173078","3","3","0","0","3","0","0","0","9","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"19698","Santander de Quilichao","47","Cauca","3.016053901","-76.48537029","2","3","1","0","1","1","0","1","32","3.125","33.333","33.333","33.333","0.000","33.333","0.885","0.000","66.667","#N/D"
"19807","Timbío","47","Cauca","2.349976425","-76.68423879","1","2","0","1","1","0","0","0","5","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"19845","Villa rica","47","Cauca","3.177577926","-76.45787266","0","1","1","0","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","100.000","4.689","0.000","0.000","#N/D"
"20001","Valledupar","20","Cesar","10.46048122","-73.25938931","14","52","6","32","12","2","0","2","1264","0.158","3.846","23.077","3.846","0.000","11.538","1.126","61.538","26.923","#N/D"
"20011","Aguachica","20","Cesar","8.310336958","-73.59902859","0","2","1","1","0","0","0","0","185","0.000","0.000","0.000","0.000","0.000","50.000","0.843","50.000","0.000","#N/D"
"20013","Agustín Codazzi","20","Cesar","10.04045799","-73.23839617","5","6","0","1","4","1","0","1","59","1.695","16.667","66.667","16.667","0.000","0.000","0.000","16.667","83.333","#N/D"
"20060","Bosconia","20","Cesar","9.9750947","-73.88876766","2","2","0","0","2","0","0","0","95","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"20178","Chiriguaná","20","Cesar","9.361189611","-73.60014444","1","1","0","0","1","0","0","0","37","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"20400","La Jagua de Ibirico","20","Cesar","9.5638873","-73.33422791","1","1","0","0","1","0","0","0","32","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"20614","Río de Oro","20","Cesar","8.292287384","-73.3863952","0","2","2","0","0","0","0","0","4","0.000","0.000","0.000","0.000","0.000","100.000","11.240","0.000","0.000","#N/D"
"20621","La Paz","20","Cesar","10.38748954","-73.17136291","0","1","0","1","0","0","0","0","2","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"20750","San Diego","20","Cesar","10.33303286","-73.18121808","2","3","0","1","2","0","0","0","5","0.000","0.000","66.667","0.000","0.000","0.000","0.000","33.333","66.667","#N/D"
"20770","San Martín","20","Cesar","7.999895459","-73.51097518","0","2","2","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","6.952","0.000","0.000","#N/D"
"23001","Montería","5","Córdoba","8.745132591","-75.87557791","14","23","1","8","11","3","0","3","1144","0.262","13.043","47.826","13.043","0.000","4.348","0.198","34.783","60.870","#N/D"
"23090","Canalete","5","Córdoba","8.786944523","-76.24139652","2","2","0","0","2","0","0","0","3","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"23162","Cereté","5","Córdoba","8.888611812","-75.79621652","1","2","0","1","1","0","0","0","55","0.000","0.000","50.000","0.000","0.000","0.000","0.000","50.000","50.000","#N/D"
"23189","Ciénaga de Oro","5","Córdoba","8.875502246","-75.62078664","0","1","1","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","1.652","0.000","0.000","#N/D"
"23417","Lorica","5","Córdoba","9.240855143","-75.8159954","6","7","1","0","6","0","0","0","133","0.000","0.000","85.714","0.000","0.000","14.286","0.866","0.000","85.714","#N/D"
"23466","Montelíbano","5","Córdoba","7.973777244","-75.41681813","1","1","0","0","1","0","0","0","35","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"23660","Sahagún","5","Córdoba","8.943125416","-75.4459203","0","1","0","1","0","0","0","0","120","0.000","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"23807","Tierralta","5","Córdoba","8.170378684","-76.05969659","1","2","0","1","0","0","1","1","14","7.143","50.000","0.000","0.000","50.000","0.000","0.000","50.000","50.000","#N/D"
"25001","Agua de dios","47","Cundinamarca","4.375312017","-74.66921778","0","1","1","0","0","0","0","0","6","0.000","0.000","0.000","0.000","0.000","100.000","8.114","0.000","0.000","#N/D"
"25035","Anapoima","47","Cundinamarca","4.562956175","-74.52851753","0","2","0","2","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"25126","Cajicá","47","Cundinamarca","4.920809059","-74.02345397","5","17","0","12","5","0","0","0","23","0.000","0.000","29.412","0.000","0.000","0.000","0.000","70.588","29.412","#N/D"
"25175","Chía","47","Cundinamarca","4.866065424","-74.05034682","10","30","1","19","10","0","0","0","125","0.000","0.000","33.333","0.000","0.000","3.333","0.669","63.333","33.333","#N/D"
"25178","Chipaque","47","Cundinamarca","4.442671017","-74.04487563","1","1","0","0","1","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"25181","Choachí","47","Cundinamarca","4.527047921","-73.92289448","0","1","0","1","0","0","0","0","0","","0.000","0.000","0.000","0.000","0.000","0.000","100.000","0.000","#N/D"
"25200","Cogua","47","Cundinamarca","5.061841798","-73.97849669","2","2","0","0","2","0","0","0","0","","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"25214","Cota","47","Cundinamarca","4.812987769","-74.10272646","1","10","0","9","1","0","0","0","0","","0.000","10.000","0.000","0.000","0.000","0.000","90.000","10.000","#N/D"
"25269","Facatativá","47","Cundinamarca","4.813064178","-74.35022793","7","8","0","1","4","3","0","3","171","1.754","37.500","50.000","37.500","0.000","0.000","0.000","12.500","87.500","#N/D"
"25279","Fómeque","47","Cundinamarca","4.485474345","-73.89252259","2","2","0","0","2","0","0","0","12","0.000","0.000","100.000","0.000","0.000","0.000","0.000","0.000","100.000","#N/D"
"25286","Funza","47","Cundinamarca","4.712763015","-74.211525","11","16","0","5","9","0","2","2","10","20.000","12.500","56.250","0.000","12.500","0.000","0.000","31.250","68.750","#N/D"
