"ID_Deparment","Department","DIVIPOLA","Capital","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Tested","People_Hospitalized","Hospital_Beds","Hospital_Beds_Utilisation","ICU_Beds","ICU_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Testing_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"91","Amazonas","13001","Leticia","-4.199836935","-69.94142671","264","2299","89","1946","249","8","6","10597","1946","64","30.406","0","","324.333","383.167","324.333","41.500","14.833","112.6297140","1.333","44.000","0.001","13170.000","888.000","2020-06-30 16:50:00"
"5","Antioquia","5001","Medellin","5.610109776","-74.88681663","2667","4442","26","1749","2458","179","28","86031","1749","3851","0.454","381","6.451","62.464","158.643","62.464","87.786","0.929","0.3893422","6.393","95.250","0.000","238498.000","256843.000","2020-06-30 16:50:00"
"81","Arauca","17524","Arauca","7.077358544","-70.74635031","72","76","0","4","70","2","0","2407","4","130","0.031","2","35.000","","","","","","0.0000000","","","0.000","","","2020-06-30 16:50:00"
"88","Archipielago de San Andres Providencia y Santa Catalina","5308","San Andres","12.58301369","-81.69606298","5","23","0","18","4","0","0","1367","18","46","0.391","3","1.333","","","","","","0.0000000","","","0.000","","","2020-06-30 16:50:00"
"8","Atlantico","8001","Barranquilla","10.97592682","-74.79525905","14457","23360","1151","7752","13167","1049","185","23291","7752","2922","2.653","326","40.390","41.903","126.270","41.903","71.173","6.222","42.2830962","5.670","78.146","0.008","14714.000","2365.000","2020-06-30 16:50:00"
"11","Bogota D.C.","11001","Bogota D.C.","4.65017303","-74.107359","16581","30017","680","12756","14904","1502","142","220471","12756","5159","2.473","743","20.059","89.831","211.387","89.831","104.958","4.789","8.7810428","10.577","116.768","0.001","54535.000","11388.000","2020-06-30 16:50:00"
"13","Bolivar","13001","Cartagena de Indias","-4.199836935","-69.94142671","4221","9116","365","4530","3883","259","69","4707","4530","1679","2.698","148","26.236","65.652","132.116","65.652","56.275","5.290","16.7356266","3.754","61.174","0.015","31608.000","5975.000","2020-06-30 16:50:00"
"15","Boyaca","15001","Tunja","5.539953238","-73.35548873","140","375","11","224","112","20","3","14298","224","635","0.353","48","2.333","74.667","125.000","74.667","37.333","3.667","0.8851473","6.667","46.667","0.000","414244.000","112976.000","2020-06-30 16:50:00"
"17","Caldas","5120","Manizales","7.836837561","-75.41436144","73","260","7","180","64","7","1","8751","180","835","0.216","85","0.753","180.000","260.000","180.000","64.000","7.000","0.6873169","7.000","73.000","0.000","1018453.000","145493.000","2020-06-30 16:50:00"
"18","Caqueta","13430","Florencia","9.313668722","-74.89151608","12","35","1","22","11","0","0","2049","22","250","0.088","12","0.917","","","","","","0.2435929","","","0.000","","410521.000","2020-06-30 16:50:00"
"85","Casanare","85001","Yopal","5.327612651","-72.39691516","21","66","0","45","19","1","1","3964","45","219","0.205","16","1.188","45.000","66.000","45.000","19.000","0.000","0.0000000","1.000","21.000","0.000","435195.000","","2020-06-30 16:50:00"
"19","Cauca","19001","Popayan","2.482503391","-76.57406468","203","376","16","157","160","34","9","5299","157","644","0.244","52","3.077","17.444","41.778","17.444","17.778","1.778","1.0724313","3.778","22.556","0.002","165771.000","93246.000","2020-06-30 16:50:00"
"20","Cesar","20001","Valledupar","10.46048122","-73.25938931","545","1027","24","458","474","65","5","9925","458","1210","0.379","202","2.347","91.600","205.400","91.600","94.800","4.800","1.8527282","13.000","109.000","0.001","259077.000","53974.000","2020-06-30 16:50:00"
"27","Choco","27001","Quibdo","5.692195187","-76.62596936","951","1544","46","547","812","118","20","6929","547","256","2.137","12","67.667","27.350","77.200","27.350","40.600","2.300","8.4440235","5.900","47.550","0.003","27238.000","11843.000","2020-06-30 16:50:00"
"23","Cordoba","23001","Monteria","8.745132591","-75.87557791","508","786","49","229","363","100","41","11703","229","1120","0.204","137","2.650","5.585","19.171","5.585","8.854","1.195","2.6791372","2.439","12.390","0.004","44608.000","37325.000","2020-06-30 16:50:00"
"25","Cundinamarca","11001","Bogota D C.","4.65017303","-74.107359","1245","2709","56","1408","1071","153","16","28178","1408","1158","1.216","109","9.826","88.000","169.313","88.000","66.938","3.500","1.7267967","9.563","77.813","0.001","202687.000","57911.000","2020-06-30 16:50:00"
"94","Guainia","94001","Inirida","3.866161619","-67.91883684","12","15","1","2","12","0","0","1048","2","15","0.133","0","","","","","","","1.9748795","","","0.000","","50636.000","2020-06-30 16:50:00"
"95","Guaviare","95001","San Jose del Guaviare","2.566428399","-72.63898622","32","38","0","6","31","1","0","4632","6","39","0.154","0","","","","","","","0.0000000","","","0.000","","","2020-06-30 16:50:00"
"41","Huila","23570","Neiva","8.550144929","-75.54027122","79","341","10","252","71","4","0","894","252","603","0.418","87","0.816","","","","","","0.8907718","","","0.000","","112262.000","2020-06-30 16:50:00"
"44","La Guajira","44001","Riohacha","11.52875138","-72.91148891","338","440","19","83","303","26","8","12978","83","512","0.162","48","6.313","10.375","55.000","10.375","37.875","2.375","1.9674481","3.250","42.250","0.001","120715.000","50827.000","2020-06-30 16:50:00"
"47","Magdalena","23807","Santa Marta","11.2294335","-74.19089412","957","1854","119","778","812","123","20","817","778","1145","0.679","65","12.492","38.900","92.700","38.900","40.600","5.950","8.3390212","6.150","47.850","0.024","71351.000","11992.000","2020-06-30 16:50:00"
"50","Meta","23001","Villavicencio","8.745132591","-75.87557791","264","1250","15","971","245","15","3","17611","971","874","1.111","45","5.444","323.667","416.667","323.667","81.667","5.000","1.4104982","5.000","88.000","0.000","354485.000","70897.000","2020-06-30 16:50:00"
"52","Narino","52001","Pasto","1.212124365","-77.27857635","1275","3443","107","2061","1096","149","23","16783","2061","980","2.103","82","13.366","89.609","149.696","89.609","47.652","4.652","6.5741413","6.478","55.435","0.001","70765.000","15211.000","2020-06-30 16:50:00"
"54","Norte de Santander","54001","Cucuta","7.905306295","-72.5082562","156","334","19","159","135","16","4","12770","159","763","0.208","83","1.627","39.750","83.500","39.750","33.750","4.750","1.1726093","4.000","39.000","0.000","405080.000","85280.000","2020-06-30 16:50:00"
"86","Putumayo","86001","Mocoa","1.152296118","-76.65027142","13","28","6","9","5","6","2","741","9","193","0.047","6","0.833","4.500","14.000","4.500","2.500","3.000","1.6707182","3.000","6.500","0.003","179564.000","59855.000","2020-06-30 16:50:00"
"63","Quindio","5059","Armenia","6.155818729","-75.78683783","46","167","4","117","44","0","1","3817","117","481","0.243","28","1.571","117.000","167.000","117.000","44.000","4.000","0.7202004","0.000","46.000","0.000","555401.000","138850.000","2020-06-30 16:50:00"
"66","Risaralda","23001","Pereira","8.745132591","-75.87557791","216","511","13","282","198","12","6","11768","282","710","0.397","64","3.094","47.000","85.167","47.000","33.000","2.167","1.3526801","2.000","36.000","0.001","160176.000","73927.000","2020-06-30 16:50:00"
"68","Santander","68001","Bucaramanga","7.116267276","-73.13259818","501","713","13","199","453","45","2","21995","199","1624","0.123","171","2.649","99.500","356.500","99.500","226.500","6.500","0.5699485","22.500","250.500","0.000","1140454.000","175454.000","2020-06-30 16:50:00"
"70","Sucre","70001","Sincelejo","9.302333104","-75.39548356","1067","1255","65","123","913","137","15","9651","123","816","0.151","96","9.510","8.200","83.667","8.200","60.867","4.333","6.8474968","9.133","71.133","0.002","63283.000","14604.000","2020-06-30 16:50:00"
"73","Tolima","73001","Ibague","4.439608991","-75.19371478","597","943","19","327","563","28","3","11954","327","806","0.406","126","4.468","109.000","314.333","109.000","187.667","6.333","1.4179126","9.333","199.000","0.000","446666.000","70526.000","2020-06-30 16:50:00"
"76","Valle del Cauca","76001","Cali","3.414414305","-76.52156515","4906","9974","403","4665","4111","619","167","62606","4665","3072","1.519","503","8.173","27.934","59.725","27.934","24.617","2.413","8.8920230","3.707","29.377","0.003","27139.000","11246.000","2020-06-30 16:50:00"
"97","Vaupes","97001","Mitu","1.251190563","-70.23475052","15","28","0","13","14","0","1","1139","13","4","3.250","0","","13.000","28.000","13.000","14.000","0.000","0.0000000","0.000","15.000","0.001","44712.000","","2020-06-30 16:50:00"
"99","Vichada","99001","Puerto Carreno","6.186864187","-67.486997","0","1","0","1","0","0","0","782","1","26","0.038","0","","","","","","","0.0000000","","","0.000","","","2020-06-30 16:50:00"
